Bedrooms,Square Footage,Age,Price
2,1839,8,455884.33006905153
4,1797,27,524421.8330262083
4,2443,12,690960.7251606637
2,1737,38,406352.8988759549
2,1304,30,394307.02236635814
2,1945,21,456792.16243274254
1,1848,30,376603.27457246196
4,1184,29,318428.37783352466
1,1319,24,315935.2406386535
5,2496,10,770896.0294374704
2,2466,1,552790.6534937648
5,1901,39,549535.3388473846
1,2843,20,633918.7009370226
4,2274,8,650708.5484439196
3,1573,39,440711.2602523133
2,2130,4,500889.4880706615
5,1467,31,546097.319632341
5,2297,38,694225.1350015906
5,1045,42,443694.179211136
1,1992,6,431973.3385810915
1,2598,17,560220.8260470002
3,2046,27,555217.4573719943
1,2249,32,408256.43289444875
4,2638,7,789888.8848105544
4,2673,26,739255.0091233752
5,1773,12,665920.2491733158
2,2356,18,528041.1835822549
5,2597,32,758189.9839746977
4,1170,32,431475.7669300543
4,1759,21,572311.293280982
4,1400,27,369956.6601599452
5,2339,40,693678.9591354153
3,1273,11,391846.6463000455
2,2220,39,458488.8797406074
3,2340,5,633942.7561450909
3,2689,40,619368.499139763
2,2166,16,472826.2157349133
4,1877,14,540147.818663086
4,2853,36,764430.2252484061
5,1181,39,404168.7556322773
5,1081,12,404396.9131197932
3,2565,40,748299.2538090876
2,1198,12,334834.84349299356
2,1028,49,203410.51040123397
1,2738,37,564130.3275498545
1,2669,19,543394.1905376312
3,1484,12,426937.8709077498
5,1484,35,447720.0024523448
4,1340,17,494091.20848774875
4,2975,29,766079.6581787891
3,1498,10,393416.7047179541
2,1178,38,288141.1999233266
1,2622,9,479364.72868003265
5,1181,18,524791.8669642864
2,2802,49,595275.6849997258
5,2579,45,752552.1825865735
5,1955,29,558054.7300974149
3,2438,26,586762.9289430329
1,2851,31,626848.0755096595
1,2166,38,375125.82903572556
4,2456,31,742767.7894037553
2,1632,19,387518.4736112754
2,2405,13,497786.73592320574
1,2080,2,512243.4965668793
5,1449,28,563984.8487282704
4,2896,11,737372.943261568
4,2927,4,727716.4860734651
5,1965,17,630633.7507220475
4,1143,28,347779.95350862946
5,1631,7,581853.1839268592
4,2001,1,634513.5210953931
1,1308,8,318676.21181982936
4,1288,26,435083.51640833507
4,2111,4,571893.6040620641
2,2998,37,650353.1114327515
4,1930,45,451469.0673753787
5,2565,22,696044.2188259363
1,1051,9,212876.72339153622
4,2497,48,635671.3519364992
1,1437,39,230945.21847358084
1,1772,43,341063.93018002424
4,2216,34,627208.7175570169
2,2915,37,618505.8301443652
3,1154,5,491949.53346367227
4,2492,28,614027.1993972417
3,1389,14,499263.718352395
4,1378,14,423105.3195713932
1,1856,42,435078.17655415554
4,1273,9,538555.5607814529
3,2988,7,795340.821027506
1,1312,31,197977.36653780713
4,1160,13,566262.4136043913
2,2265,35,543695.2616138549
5,1337,4,467989.05079646845
4,2608,41,734079.9724642974
2,1073,17,404964.7859356351
3,1740,6,448691.6600472218
2,2439,41,467343.66323215625
5,1350,30,585339.9608733488
2,2353,23,507156.2036053708
4,1364,38,388217.72881933476
2,2200,24,572256.7905136136
4,1739,37,433681.4124953762
3,2440,44,662260.4947244822
5,2294,35,631600.3178066848
2,1573,7,406107.32164681016
5,2367,7,761643.847092662
2,1416,25,367179.0620965952
5,1312,13,492955.2020244854
2,1412,18,382070.6568929245
3,1171,32,319657.03015440755
3,2121,49,571885.5057524131
4,1178,38,395879.3431755521
2,1814,1,492220.0202483914
3,1108,11,311289.18406985985
3,2864,45,613446.7319627985
5,1421,5,547129.7764399679
3,1632,32,370049.1174221138
3,1002,11,374212.60195362906
4,1785,30,476736.727902241
1,1143,34,183185.99113557057
5,1707,42,544494.5028094025
3,2365,49,573082.493284945
1,2520,14,544381.6863218925
1,1754,20,326651.8466732243
3,2117,42,426640.61003585474
4,2893,13,856896.5807139927
2,2144,45,403801.0838899268
4,1662,44,475653.56370496773
3,2234,17,474392.67078132386
5,2543,38,711328.0140578499
2,1823,15,521447.7853671368
2,1177,37,341003.3318457458
3,2050,5,499467.589008291
3,1760,48,422918.6069148297
5,1644,1,554874.6856961094
4,2133,38,527509.2878046632
5,1089,12,405703.2991827432
3,2050,45,559802.8624175542
5,2724,6,827600.9053429924
3,1243,41,369911.2662195227
2,2647,47,564284.7746460746
5,2619,17,715100.3322431382
1,1590,17,313877.13470031146
2,1658,11,455494.00552890135
1,2145,6,492209.31039545947
3,1608,24,478449.75720284024
1,1347,48,278933.92378652614
4,1804,4,601662.5677822643
3,2382,39,608326.4044161473
1,2428,49,537327.9061317522
3,2407,19,615112.1197772021
4,2516,31,658922.0566196758
1,1387,17,265416.8083110196
1,2682,32,516001.86116692465
2,1205,43,274946.7717981602
1,1051,48,202794.8163476519
1,1561,22,282489.56382522156
3,2567,34,672223.7202248399
4,1481,11,479197.9203653576
5,2682,45,745736.3915940786
4,1268,32,473108.69837862154
4,1623,20,520946.07171661616
1,1231,3,276438.8211252139
5,1866,20,601632.1928584144
5,2863,32,773783.8703756401
4,2630,20,772768.8906448687
3,1813,40,407159.9955441647
5,2744,40,656329.3166574597
5,1065,34,464197.5987275458
4,1088,45,370679.49684335606
2,1272,45,322611.538578562
5,1301,31,594546.2843505193
4,1383,40,422895.6459647118
2,1219,13,423465.512502913
4,1165,17,450812.41967483365
4,1434,17,480593.8935793715
3,1408,7,456649.28473073785
1,2968,5,589363.4497387751
2,2228,46,508363.8072969519
1,2028,21,428645.1716782163
2,2008,31,447202.2783909752
2,1947,13,478452.35638284945
5,2198,34,675339.5326432334
3,2064,27,529666.4882798488
3,2934,19,767864.2120807203
4,2265,7,562900.9177188587
1,1394,3,315525.6612338172
4,2435,27,599885.179473448
3,2358,47,651766.5186444174
4,1870,26,487253.1880075381
3,2421,14,551425.7505288658
3,2540,28,568561.3132435484
2,1726,38,296683.0105837795
4,2295,46,637838.5623863819
2,2053,22,441635.6815973425
4,1974,44,575587.7575054528
3,2194,6,618792.4579603873
3,2689,26,602211.4834373428
5,2227,13,668047.4495256293
2,1479,7,379699.0439908151
1,2243,48,454909.37082443084
4,1534,10,529327.3010450045
1,2134,11,465940.7532819137
5,1811,9,668085.806941762
3,2492,27,580163.785099989
2,2719,17,685575.0115838468
1,1765,32,472590.7404814059
2,2154,31,665400.8474405854
3,2689,38,553662.6909153615
2,2661,39,542267.4418558979
2,1120,49,260849.83596063365
4,2664,7,754297.3233220405
1,2375,49,453298.14894772106
5,1184,7,467380.7530785747
2,2134,2,554069.4352544543
2,2734,48,538086.685431846
5,1978,2,704717.9872586019
1,1598,22,365894.7562735055
3,1190,47,342019.20258149947
4,2791,1,766659.8220442506
5,2582,23,692196.9782276382
2,1763,37,441076.1658267681
3,2113,27,457926.4199944356
4,1717,21,541506.0819553899
5,2676,21,804937.4411275848
2,1318,40,266652.1214281688
1,1293,35,275221.5545275841
5,1159,47,419385.0768332747
2,1887,31,412539.06181796273
3,2948,28,765692.0783396857
5,1315,37,451660.5670079527
4,2528,10,870873.6763436706
1,1339,9,339081.4948128588
5,2832,21,855914.650236786
5,2384,24,718126.8661227322
1,2401,49,435803.1086985789
3,2625,40,583939.7830534892
4,2821,44,681915.4829030425
2,1796,43,434102.44540802925
3,2076,14,482848.96333928
2,2322,48,551634.737165249
4,1650,10,506019.41414563556
3,2748,28,708748.4376727734
5,2297,27,691655.8907203876
3,1640,38,391289.5434351024
2,2703,35,610123.4070089669
5,1038,7,453222.1805231534
1,2506,42,512727.5041263459
3,1193,46,293126.67026622704
3,2584,38,646593.9336655817
5,1214,7,461763.88190797396
3,2069,22,510217.49805828015
5,2146,4,641027.4207952287
1,1689,12,440067.73051643715
3,2558,43,687450.5869318228
2,1231,12,361441.88832704426
3,2534,30,632709.0284284529
5,2372,15,725184.7867091928
5,2345,20,750144.2490583893
2,2365,27,528749.7371345998
2,2858,44,579837.98872631
5,2568,17,671431.6161866394
5,1434,36,550618.852608149
3,2350,18,633265.9698696876
5,1614,17,535720.3331036255
2,1931,11,408684.88255882723
3,1484,10,400269.47082483827
5,1151,36,483760.44819612015
1,1122,26,257688.09744003534
2,1082,27,269575.1727595198
1,2126,16,430178.36669412744
3,1089,28,311287.80090578966
2,1750,5,460230.4256279849
3,1079,39,350701.67191147717
4,2137,22,514769.8263988817
2,1155,40,329709.2855312181
3,2877,24,570201.2132722714
1,2537,45,507881.04286784574
3,1265,39,417634.0385900054
5,1115,44,443860.84468857397
5,2873,44,769681.9091828844
1,1395,23,267800.7192254207
3,2088,29,609797.3856093028
2,1247,47,230620.92854740145
1,2859,44,574820.8743747432
3,2529,7,643080.2509333367
4,2213,14,613886.9411690031
5,1054,14,377033.9809468141
1,2316,18,538252.869497234
3,1468,41,435696.1823707361
4,2150,31,702908.8591586102
5,1019,5,468479.7120106698
4,2007,19,454468.9413385188
1,2733,49,595070.0304887933
3,1724,3,539693.9607607173
4,1637,28,486507.81485675165
4,2726,9,746137.1395638097
4,2220,44,615898.3454558792
2,2193,16,563112.9606088146
4,1208,24,468424.9655848735
3,1656,48,380737.83730454516
3,1185,31,319956.0271768592
3,2669,14,706175.0828256971
5,1096,29,438657.8802386687
4,1278,47,467002.3671709614
1,2155,15,476361.95190656144
5,2416,47,706422.279376494
2,1830,46,311725.1723371302
3,2884,34,725726.0045106597
2,2193,5,548067.3345052633
5,2866,11,832422.6079169449
2,1102,19,303424.3274639016
5,2628,37,817703.8550811334
2,2119,9,518301.03323984396
3,1108,10,333986.25658298086
4,1907,47,535654.9052816676
3,1930,14,582182.873376118
3,1091,13,345706.3051792454
3,2841,30,772505.5253981904
4,1583,15,472149.10387085896
3,2447,41,602274.864171909
5,1870,14,641983.8074169083
2,1887,10,452169.0045373728
4,2082,47,546615.6027411727
1,2029,13,348966.22462911694
5,2097,38,706310.6635324915
4,2880,30,765662.0652996014
2,1140,46,274304.3833462241
4,1744,12,532264.1200364644
5,2249,45,676354.1863050215
5,2851,42,814401.6421106143
1,1718,25,337861.1993753159
3,2551,9,676541.5012102681
2,2028,16,362035.8238498112
5,2942,33,725586.4977566336
5,2716,45,790435.3302795455
2,1066,17,296540.5651678215
5,2863,45,797545.4295617198
1,2389,12,497312.35253305803
1,1328,16,245925.10469184385
3,2285,26,636531.8712262252
4,1551,22,430956.79013787967
2,1335,23,344230.562319668
1,2871,18,540012.1641290514
1,2833,29,611505.6714812801
1,1985,28,468053.17538142385
1,1662,45,283063.48598142905
3,1473,9,403793.40205484966
5,2241,28,624843.1293774138
1,1915,29,413510.1532708518
3,2854,40,641665.4867423087
4,1797,44,538701.8113713673
5,2801,40,754314.7810534724
4,2419,36,578312.8988505418
5,1893,31,620417.5839313498
5,1099,42,442610.0624242519
5,2562,10,676401.0865523664
3,1871,44,509860.112987316
2,2279,18,487969.3251594754
4,2746,17,722531.0654299993
5,2608,1,730945.4770090338
5,1255,27,509365.5699119001
1,2665,8,544240.9436182923
1,2891,19,577877.3639663446
3,1626,12,522695.0382214908
5,1241,13,517133.5596358792
4,2710,14,783695.0227332447
4,2335,9,677296.1642821305
1,2546,41,572376.1768715021
1,2738,19,570873.1932733085
2,2304,18,581341.7175430938
5,1511,43,504096.83600675006
5,2375,45,728116.8199524559
1,2067,35,421888.2062606557
1,1987,12,510599.8831895698
1,2677,24,531162.592309101
2,1974,7,576327.0041120136
2,1055,15,372889.27458932746
2,1005,47,193915.2006059531
5,1407,44,516514.62239899795
2,1042,2,228917.45377017622
5,2639,15,795812.6840577842
1,2073,38,342613.97402514145
5,2381,7,683584.9527635481
4,1870,48,532407.8719155866
3,2611,45,642317.4691456795
1,2909,10,574510.6774507143
4,1952,4,519481.41422224854
3,2451,10,594159.4818270239
4,1152,35,352253.97625858575
3,2361,31,628386.9050627958
3,2557,2,636606.5230945034
2,2170,39,525425.2027040924
4,1063,15,346616.36043915036
4,2369,17,681789.6660661864
1,2565,31,538239.7683151781
5,2317,14,833737.9296414047
4,1945,23,468876.1251134786
4,2192,47,651652.7052419408
1,1497,36,303406.24790744367
1,1362,24,321094.1721758521
2,2247,38,522613.8496615349
5,1103,30,459121.55401675845
5,2291,46,628793.3374340313
2,1312,43,211593.16535084072
1,2471,27,508427.10446211376
1,1142,19,269635.39576522534
1,2312,23,500721.6895680647
4,1193,7,373506.3293524521
5,2145,11,667994.9485060629
5,1373,44,499922.1298952084
3,1833,2,591079.2347306793
3,1036,10,417230.36393029895
4,2786,27,785189.3634451178
4,1025,49,416105.86333477916
5,2996,16,824046.120184012
3,1072,18,397669.99461795564
2,1050,20,242639.83061993725
1,1524,20,284041.0776997992
5,1920,2,650904.7062353637
2,1147,28,297327.85181133053
4,2731,37,809321.2151724389
1,1394,36,225422.66932220935
4,1519,10,513693.5107813799
3,1948,42,474417.5644674081
2,2116,14,562517.0647349226
1,2550,7,522815.66788939777
1,1456,25,316743.5147343868
4,1046,11,393765.4081017037
5,2251,44,670840.2606600816
2,1035,38,383974.6590726772
1,1209,6,263826.84237152874
1,2175,41,500911.84962697135
3,1061,16,300657.6260678914
2,2653,15,628370.6149616963
2,2205,22,495085.52177750925
1,1524,1,370874.2078519438
2,2453,36,515212.94817168004
2,2543,34,629925.8870773888
1,1506,15,334573.7752550303
1,2455,7,518514.1536741947
4,1110,25,423911.035617541
4,1679,4,546261.6098061542
4,2886,5,786821.2102122869
4,2683,38,776412.5203600074
2,2258,41,551478.0855123653
3,2901,32,597851.1543231386
1,1946,28,429955.87665525585
1,2601,42,506782.5790730938
5,1939,4,681161.8611084628
3,1594,35,367464.4002415752
3,2486,42,661460.1828450152
1,2113,14,345396.5842171092
3,1101,18,466249.77691761876
5,1376,43,485440.52209007955
2,1184,41,214118.45266225364
4,1584,46,393818.7339630584
5,1690,11,630128.7679565568
4,1034,39,330439.68251526786
1,1986,43,386597.13076322636
2,1523,4,353594.13677198696
5,1620,28,523669.9914685145
3,2163,16,686908.2284816374
2,1360,35,288478.8157863485
5,1420,37,523795.4734055566
2,2918,43,722144.7409407775
1,2201,40,424605.53368788835
3,2996,45,678856.8785594176
4,2247,21,700110.6276485175
4,2994,26,768083.7372812633
4,2840,12,806554.6805133669
5,1586,45,578218.0119897904
2,2163,18,560075.293515646
3,1605,6,518910.8337161582
3,2570,20,644346.9620045957
5,1714,8,528725.5767701638
3,2484,5,659999.2000547913
3,1753,32,436243.0341008217
2,2319,30,531026.1721096272
2,1368,43,376719.449011277
2,2546,28,521794.80996579
5,1770,33,606558.3884700374
5,2401,44,659983.5718630711
5,2007,42,641869.2576961911
3,1075,19,264507.9188853986
4,2966,30,787836.332210844
3,2075,14,575490.4753154924
2,1500,45,384272.0233089948
4,2961,10,859501.8912971085
1,2115,9,433565.68394086213
4,2667,26,742112.7546210081
2,1272,34,359552.90575809195
2,2343,18,540294.4562038523
2,1832,48,363166.017682109
2,2805,17,621685.4374534171
1,2830,8,600902.2200358957
4,1260,31,417611.6185828997
1,1515,17,292135.8045744494
3,1915,23,531182.5779531825
4,1593,38,351748.0567758395
3,2168,10,535702.8504440101
3,1382,47,404544.4813586141
3,1839,13,533906.0354133482
2,1664,25,325047.1712618796
4,2291,23,739787.3414767962
5,1150,15,453145.4764147713
4,2596,46,733452.0781999794
2,2243,34,511268.61568059085
4,1642,5,431490.32075631456
2,1904,6,527850.1265497216
4,2096,13,513492.97124021675
4,2753,42,872852.7207622523
3,1294,13,401067.7197854735
1,2588,1,531485.9480916561
4,2761,6,731274.8573228902
5,1344,23,437478.8919894635
1,2343,42,493958.5929587156
5,1917,34,597331.3113281226
4,1516,2,442773.6219748519
2,1415,11,471449.21339240635
4,1755,7,498268.09869765234
3,1203,17,441515.5013437587
2,1677,8,425649.82411767694
5,2799,28,729180.8422686025
4,2686,39,611098.9282975355
4,2660,44,691629.1084703789
2,2322,21,493319.6086181825
4,1187,42,389889.9774087235
1,1735,19,365493.0471778741
5,1310,43,528220.7590896998
4,2993,7,831287.4462355259
4,2907,39,757196.64825935
2,2459,35,471329.5807468187
3,1594,11,544880.1020098476
5,2815,40,781891.8623352213
1,2107,41,350861.4485752898
1,2817,41,521666.4705174173
2,2849,28,633950.4911986275
1,2221,31,412688.2029643179
3,1345,37,331217.9772984228
4,1301,35,395210.88853896974
5,2391,26,678311.5408280288
4,2624,28,649486.9659557142
2,2971,32,693810.4538377168
4,2339,49,651174.0322753739
3,2964,44,695943.46397924
1,2178,4,498623.24784752
5,2656,1,770714.1865150571
3,1629,38,324778.4999969154
2,1939,40,410246.3341017483
5,1633,13,548246.8680011575
4,1416,21,484988.0708370217
2,2822,12,647586.4368100164
4,2678,13,749770.7161572804
3,2351,28,625646.7773795334
3,1096,48,305514.59952029696
2,2725,22,572174.6581808369
1,1513,45,367377.3884708127
2,2526,13,713227.8069091067
1,1431,48,309856.7065964234
2,2404,18,537704.7208202805
2,1365,40,311546.76014294685
5,2142,32,694599.3465864118
1,2195,48,449212.046906958
1,1474,30,359353.1756548635
3,2039,2,624492.8227084354
