Date,Time,Stop/Station,Passenger_Count,Vehicle_ID,Latitude,Longitude,Temperature (°C),Precipitation (mm),Humidity (%),Age_Group,Gender,Feedback
2023-04-05,15:28,Georgetown,52,BUS293,1.985656366128233,117.88642755200175,15,3,83,40-60,Male,Seats were uncomfortable
2022-07-03,07:27,Cameron Highlands,42,TRAIN31,2.590888512864176,103.3646810005704,8,3,98,25-40,Female,Seats were uncomfortable
2022-01-29,12:13,Georgetown,11,TRAIN61,6.125734936155712,108.44705740591893,5,6,84,40-60,Female,Route was confusing
2022-05-09,18:14,Kuching,57,TRAIN77,3.387792101926708,113.6018203665399,39,0,87,40-60,Male,Bus arrived on time
2022-05-09,14:20,Cameron Highlands,44,TRAIN64,3.037923940938895,106.99568786642463,18,1,75,25-40,Male,Train was overcrowded
2022-02-23,07:55,Malacca,52,TRAIN26,2.3539191076231933,113.23212539778257,37,8,67,40-60,Male,Delay in departure
2023-07-05,12:43,Kota Kinabalu,52,TRAIN50,5.043531609968954,107.19464047431664,-5,5,94,25-40,Male,Delay in departure
2023-05-04,21:27,Malacca,84,BUS666,6.808233356106713,103.5742414069693,-3,4,89,18-24,Male,Route was confusing
2022-10-01,12:15,Kuching,52,BUS767,1.4760984740788308,110.68077642156415,2,5,76,25-40,Male,Poor signage at the station
2022-12-02,23:11,Kuching,56,TRAIN16,4.016359102003316,100.3076592231641,26,5,62,18-24,Female,Train was overcrowded
2023-01-24,13:29,Johor Bahru,89,TRAIN26,6.415271177333416,107.70159062826927,38,4,63,18-24,Female,Bus arrived on time
2023-09-10,14:18,Kuching,50,TRAIN80,2.605471580183343,113.70730030403725,9,9,88,18-24,Female,Service was excellent
2022-02-12,04:28,Georgetown,90,BUS908,3.034218483068201,105.28783749682417,29,0,78,40-60,Male,Station was well-maintained
2023-03-19,01:49,Langkawi,53,BUS303,3.960747015668799,114.52330389046617,22,8,91,40-60,Male,Bus arrived on time
2023-06-28,17:23,Malacca,74,TRAIN28,1.8407435448247547,109.86124065968633,-6,5,99,18-24,Male,Train was overcrowded
2022-09-15,16:41,Port Dickson,73,BUS162,5.822708002812957,105.75554639025759,32,9,74,40-60,Male,Route was confusing
2022-11-18,16:02,Kuala Lumpur,54,TRAIN09,2.5108654179552765,108.62715604219389,-3,9,53,40-60,Male,Delay in departure
2022-02-27,15:17,Johor Bahru,12,BUS603,1.352925147205597,101.31242381787558,-8,0,74,25-40,Male,Service was excellent
2022-10-19,20:38,Port Dickson,32,TRAIN21,4.98850147029629,109.62993258777492,32,4,79,25-40,Female,Route was confusing
2022-04-30,00:06,Ipoh,34,TRAIN80,4.27178773536204,108.19220901076561,13,0,54,18-24,Male,Seats were uncomfortable
2023-03-07,12:22,Langkawi,54,TRAIN95,6.577828652030207,109.22246796152263,27,3,59,25-40,Male,Delay in departure
2022-03-24,15:10,Johor Bahru,93,BUS457,5.695845779684871,102.04210167775143,2,2,54,18-24,Male,Train was overcrowded
2022-04-02,02:40,Kuching,87,TRAIN90,1.2161176185305567,100.55170989020687,34,0,98,40-60,Female,Poor signage at the station
2023-02-03,06:54,Port Dickson,17,BUS412,4.178793298861382,102.62933486283508,22,2,90,40-60,Female,Cleanliness was lacking
2023-09-04,21:34,Malacca,93,BUS762,6.2069795086965245,106.20574300618401,31,6,87,18-24,Male,Bus arrived on time
2023-07-20,21:32,Kuching,63,BUS612,1.1100138798866925,102.16058139506508,22,0,52,40-60,Female,Service was excellent
2023-09-26,10:44,Malacca,72,TRAIN36,3.2407885968299013,115.34650150015491,-7,5,72,25-40,Male,Cleanliness was lacking
2022-03-26,03:41,Penang,39,BUS730,5.998550525337678,117.26829211694323,11,8,58,25-40,Female,Route was confusing
2022-07-23,07:27,Langkawi,94,BUS217,2.49601368831758,111.65318351516315,17,4,95,18-24,Female,Delay in departure
2022-11-21,16:10,Ipoh,18,BUS365,1.0730912265740176,112.55861753346065,16,6,50,25-40,Female,Route was confusing
2022-02-17,04:17,Malacca,84,BUS853,3.0434341594868277,119.20073885262516,-7,1,55,25-40,Female,Cleanliness was lacking
2023-10-02,03:37,Johor Bahru,51,TRAIN98,1.2075372281475452,111.02835129123315,32,3,62,40-60,Male,Driver was friendly
2022-05-12,23:29,Penang,44,TRAIN41,6.494141795581363,117.37375425664467,27,4,68,18-24,Male,Bus arrived on time
2022-06-30,06:59,Port Dickson,56,TRAIN98,6.116673012320805,114.54588471029437,4,2,60,18-24,Male,Driver was friendly
2022-05-24,11:02,Malacca,71,BUS543,3.53152904495261,111.08446992133946,18,2,77,40-60,Male,Poor signage at the station
2023-10-23,07:51,Langkawi,85,BUS653,3.4469124519855283,110.22894344864208,11,5,52,18-24,Female,Driver was friendly
2022-08-16,20:09,Langkawi,82,BUS821,6.87655559780203,100.5969156629068,23,3,64,40-60,Male,Route was confusing
2023-12-21,23:00,Kota Kinabalu,65,BUS248,3.935567204938084,105.9503486179577,12,1,97,18-24,Female,Delay in departure
2023-01-09,16:17,Cameron Highlands,95,TRAIN10,3.6201361426301153,104.7438220657481,34,1,99,18-24,Female,Station was well-maintained
2023-07-15,08:51,Cameron Highlands,78,BUS569,3.4028174946369276,105.84974014596648,10,0,82,18-24,Female,Delay in departure
2022-11-02,21:30,Malacca,57,BUS221,2.9061850144653425,113.32098374550718,-3,8,56,40-60,Male,Route was confusing
2023-08-05,15:48,Kuching,17,TRAIN36,3.059387684923209,110.32103870637553,18,5,54,40-60,Female,Poor signage at the station
2022-06-19,17:10,Langkawi,66,TRAIN70,3.6663026225113815,108.08967982617787,0,3,52,40-60,Male,Delay in departure
2023-11-07,17:03,Kuala Lumpur,95,TRAIN34,6.541140343188441,113.06085380857522,0,4,52,25-40,Male,Bus arrived on time
2023-03-25,07:09,Port Dickson,96,TRAIN36,6.267088454630706,103.58732812324192,7,6,95,18-24,Male,Seats were uncomfortable
2022-04-06,03:07,Kuala Lumpur,80,BUS173,5.5766134094703315,104.72964616834739,2,8,75,25-40,Male,Route was confusing
2022-07-17,16:34,Kuala Lumpur,29,BUS342,5.7027059690461455,109.62563404716272,23,6,59,25-40,Female,Seats were uncomfortable
2023-08-30,04:26,Kuala Lumpur,53,TRAIN94,3.5435321783407305,114.11541617889854,20,3,81,18-24,Female,Service was excellent
2022-09-14,04:06,Langkawi,80,TRAIN50,4.496928888692739,102.1830138004291,36,1,74,40-60,Male,Service was excellent
2023-11-22,00:17,Ipoh,96,TRAIN33,6.381524792484098,116.92057416896833,11,9,65,18-24,Female,Poor signage at the station
2022-10-20,23:54,Ipoh,31,BUS137,2.9852659336480465,115.14643086255447,4,0,68,25-40,Male,Service was excellent
2023-01-23,21:37,Cameron Highlands,21,BUS761,3.3845076031437724,112.84536561050734,28,5,64,40-60,Male,Station was well-maintained
2023-09-03,23:27,Johor Bahru,53,TRAIN36,2.59049361357912,108.85863262518217,-9,1,61,18-24,Female,Train was overcrowded
2023-07-09,19:14,Port Dickson,77,TRAIN46,1.2696326824294244,116.28502167773004,-7,0,92,18-24,Female,Cleanliness was lacking
2023-01-04,22:31,Kuala Lumpur,39,TRAIN05,1.0974019198095746,107.60838582066013,28,0,97,18-24,Female,Service was excellent
2022-07-21,08:56,Kuching,31,TRAIN06,2.634626772377162,103.96912704323026,21,0,82,18-24,Male,Service was excellent
2023-01-19,02:58,Penang,91,BUS415,6.647041197935734,103.95240818561416,17,2,63,40-60,Male,Bus arrived on time
2023-05-28,17:28,Cameron Highlands,79,TRAIN90,2.9454280484171926,118.25477500317149,12,7,64,40-60,Male,Train was overcrowded
2023-01-06,15:16,Cameron Highlands,11,BUS342,6.331433191471094,111.86948145349123,6,1,92,40-60,Female,Bus arrived on time
2023-07-10,08:59,Port Dickson,43,BUS964,1.7087357839449804,104.82040719521115,31,1,68,40-60,Male,Station was well-maintained
2023-01-19,23:44,Kuala Lumpur,50,TRAIN54,5.048016702902118,104.64349692544492,4,1,80,40-60,Female,Cleanliness was lacking
2022-01-24,07:12,Kuching,53,BUS886,2.9714626166548275,109.59500141124096,39,3,60,40-60,Male,Seats were uncomfortable
2023-12-01,00:20,Kota Kinabalu,61,TRAIN45,6.354908422921295,111.19940381653868,23,4,84,25-40,Male,Poor signage at the station
2022-05-11,11:11,Kuching,92,BUS338,5.186411651113033,117.93230493746955,25,3,95,25-40,Female,Cleanliness was lacking
2023-01-13,08:00,Port Dickson,64,BUS127,3.0527766590458087,105.11322912456868,2,3,85,40-60,Male,Service was excellent
2022-04-09,20:45,Cameron Highlands,89,BUS146,3.9252019947561525,113.20268255214206,22,9,93,40-60,Male,Route was confusing
2023-07-29,13:37,Kuala Lumpur,61,TRAIN50,2.407847088240678,114.52250421337234,-5,5,96,40-60,Male,Cleanliness was lacking
2022-05-04,15:39,Cameron Highlands,55,BUS403,1.1806626156463973,117.64013978696065,27,2,71,25-40,Male,Train was overcrowded
2023-08-18,18:04,Langkawi,14,BUS890,1.3883987199898993,117.50609303316389,7,1,70,40-60,Male,Bus arrived on time
2022-05-29,14:12,Georgetown,66,BUS676,5.870644600839438,111.42919905424745,-2,1,72,40-60,Female,Route was confusing
2022-07-29,23:37,Ipoh,58,BUS827,5.437413047699187,106.52963459903543,9,4,65,25-40,Female,Station was well-maintained
2023-07-17,16:04,Johor Bahru,30,TRAIN91,4.99573673905065,105.78562324637903,-2,9,83,40-60,Male,Service was excellent
2023-02-16,09:36,Ipoh,26,BUS494,6.478818083991714,113.76072416093552,3,1,77,18-24,Male,Service was excellent
2022-02-11,16:18,Langkawi,63,TRAIN97,2.5143708316023146,115.95575749750232,-2,0,83,25-40,Female,Station was well-maintained
2022-02-28,05:30,Penang,95,BUS448,1.1083526007874245,108.22615790469564,24,3,82,25-40,Female,Seats were uncomfortable
2023-12-07,21:46,Kuala Lumpur,76,TRAIN82,6.488146033543553,114.48325472365603,35,8,77,25-40,Female,Station was well-maintained
2022-02-06,03:48,Johor Bahru,30,BUS372,6.919426333946245,101.89973493879563,-5,2,82,25-40,Male,Train was overcrowded
2022-03-28,00:49,Ipoh,66,BUS098,2.0028672125935545,102.43408390148173,7,6,99,25-40,Male,Bus arrived on time
2022-02-13,09:50,Langkawi,34,BUS970,4.971167218887341,108.32167396910478,8,0,78,25-40,Female,Driver was friendly
2022-01-12,01:48,Johor Bahru,53,TRAIN67,1.6075209564681125,114.4809467138074,-9,2,55,25-40,Male,Driver was friendly
2022-11-04,17:12,Kuching,94,BUS984,1.3317835854720186,118.2977563483181,-4,6,70,25-40,Female,Bus arrived on time
2022-03-22,06:51,Malacca,73,TRAIN57,3.1759385744326334,113.4462945171035,16,2,59,25-40,Female,Cleanliness was lacking
2022-02-02,04:35,Ipoh,25,BUS564,1.6035777121129342,103.58926313868865,1,8,87,40-60,Female,Poor signage at the station
2022-07-02,06:36,Port Dickson,34,BUS572,1.6671158209289054,108.40158478916638,31,1,88,18-24,Female,Poor signage at the station
2022-05-09,18:19,Kota Kinabalu,98,TRAIN38,3.963841056328371,105.4643878701493,2,4,67,18-24,Male,Poor signage at the station
2022-10-03,06:44,Langkawi,71,TRAIN12,4.179259798198518,101.34877194800592,24,0,56,18-24,Male,Train was overcrowded
2022-06-24,03:14,Cameron Highlands,13,TRAIN19,3.3623139698662676,116.51570708732879,-2,3,54,40-60,Female,Service was excellent
2023-07-09,19:56,Georgetown,29,TRAIN35,4.99030867788883,106.8706095823416,19,7,60,18-24,Male,Poor signage at the station
2023-01-07,17:03,Kuala Lumpur,22,TRAIN55,6.9201158427309695,110.35324650520475,16,5,80,25-40,Male,Service was excellent
2022-07-04,03:33,Port Dickson,54,BUS585,6.051082462512115,111.53386974057071,9,7,52,40-60,Female,Driver was friendly
2023-03-21,21:51,Port Dickson,84,BUS748,5.584994824327211,118.41498246459327,-3,3,96,40-60,Female,Train was overcrowded
2023-05-04,22:27,Kuala Lumpur,19,BUS495,3.497834538751045,102.00613150591434,7,7,68,25-40,Male,Poor signage at the station
2023-08-13,04:56,Johor Bahru,73,BUS862,2.9790962554030225,119.44838833453571,5,6,92,40-60,Male,Train was overcrowded
2022-10-14,21:39,Kota Kinabalu,56,TRAIN49,4.427814633370019,108.92039523790821,-4,9,81,25-40,Male,Service was excellent
2022-10-08,10:10,Penang,97,BUS688,2.8494531414491098,110.39056783653479,23,0,79,25-40,Male,Driver was friendly
2023-09-30,17:29,Ipoh,23,BUS143,2.0196214070682466,119.82932284143197,24,8,78,40-60,Male,Bus arrived on time
2023-05-31,18:16,Cameron Highlands,79,BUS991,6.209384107189089,103.51514980231369,30,3,86,40-60,Female,Station was well-maintained
2022-04-05,00:36,Ipoh,55,TRAIN02,1.7242320303365912,114.70555044098363,-9,3,71,25-40,Female,Poor signage at the station
2022-08-15,02:59,Johor Bahru,17,TRAIN55,6.90605919588899,113.66119183136665,4,4,85,18-24,Male,Bus arrived on time
2022-09-27,13:01,Malacca,51,BUS216,2.5563747674619277,104.48323783631943,14,9,66,25-40,Male,Delay in departure
2022-10-24,02:02,Malacca,26,BUS832,5.423519378036659,119.32517026219173,25,1,91,25-40,Male,Service was excellent
2022-11-25,19:52,Malacca,60,TRAIN29,1.366636144469555,100.73165636897544,-5,4,67,25-40,Male,Delay in departure
2022-01-20,12:30,Georgetown,49,BUS534,5.818827644845773,113.21204558047656,17,7,77,40-60,Male,Driver was friendly
2023-08-31,07:21,Ipoh,45,TRAIN94,4.094605155391501,117.47097752850503,19,0,69,18-24,Female,Train was overcrowded
2023-02-15,13:49,Cameron Highlands,38,TRAIN96,6.805141031885448,108.00702099789984,35,5,63,40-60,Female,Service was excellent
2023-03-27,19:12,Ipoh,91,TRAIN81,3.954018714302758,108.86488181474142,-10,4,83,18-24,Female,Station was well-maintained
2022-09-06,17:00,Penang,47,TRAIN50,5.665988517773178,101.31492352529574,-3,1,75,18-24,Female,Route was confusing
2022-06-30,01:36,Georgetown,11,BUS010,2.395008156431003,105.2658039435563,37,7,63,40-60,Female,Train was overcrowded
2022-11-20,10:42,Port Dickson,91,BUS386,3.0893294251766683,114.33202113336131,-8,3,55,18-24,Female,Train was overcrowded
2022-09-18,00:28,Kuching,40,BUS953,5.731883237109592,119.64599147636041,32,4,91,40-60,Female,Cleanliness was lacking
2022-05-20,02:28,Kuching,44,BUS836,6.236615502537644,106.9004318616415,10,5,74,18-24,Male,Station was well-maintained
2023-08-22,01:13,Penang,13,TRAIN35,1.6384274764185873,102.96260289822966,20,0,94,25-40,Female,Bus arrived on time
2023-04-07,19:47,Cameron Highlands,43,TRAIN43,5.14725905059753,101.85790251817441,-7,0,52,40-60,Male,Station was well-maintained
2023-09-14,17:36,Kuala Lumpur,53,TRAIN76,6.88259709556677,103.60739265576957,28,8,59,25-40,Male,Seats were uncomfortable
2023-11-28,07:53,Cameron Highlands,99,BUS287,6.681193998299586,102.22080574990771,5,8,65,25-40,Male,Seats were uncomfortable
2023-06-13,06:09,Langkawi,11,BUS547,3.1859904211332637,116.59682315964349,9,4,53,40-60,Female,Cleanliness was lacking
2022-06-02,15:18,Kota Kinabalu,66,TRAIN41,2.79289525482738,107.66842737940291,3,4,50,40-60,Male,Seats were uncomfortable
2022-05-30,21:42,Kuala Lumpur,59,BUS944,1.807098472855445,107.95875010984109,23,3,94,40-60,Female,Driver was friendly
2022-04-21,18:02,Malacca,50,BUS945,6.924664799645174,116.8731467584517,30,2,66,40-60,Female,Train was overcrowded
2022-01-26,17:35,Malacca,92,BUS011,5.613073753761492,114.84075756753995,18,2,84,40-60,Male,Bus arrived on time
2023-04-10,19:16,Langkawi,51,TRAIN67,4.754835815325231,110.53884747121168,12,5,80,40-60,Male,Delay in departure
2022-04-28,23:12,Port Dickson,64,TRAIN46,4.125949535558053,109.99979095881328,-6,2,70,18-24,Female,Seats were uncomfortable
2023-03-22,03:45,Penang,95,BUS518,5.838354732737351,113.93194612782881,12,5,88,40-60,Male,Seats were uncomfortable
2023-08-19,02:20,Port Dickson,57,TRAIN13,4.909951340566206,111.74720537826141,-9,9,99,40-60,Female,Train was overcrowded
2023-11-05,03:17,Kuala Lumpur,75,BUS199,3.9257333354869783,103.7698082878393,38,9,76,18-24,Female,Station was well-maintained
2022-08-17,12:38,Langkawi,51,TRAIN07,3.64992231478377,102.51538591273392,36,0,80,25-40,Female,Station was well-maintained
2023-05-23,10:10,Kota Kinabalu,48,TRAIN87,3.271497658665317,108.1168002743245,24,3,72,40-60,Female,Train was overcrowded
2022-05-02,05:42,Georgetown,22,BUS518,6.819163540892113,109.88162378962441,-9,7,64,25-40,Male,Bus arrived on time
2022-11-23,08:47,Johor Bahru,89,BUS317,6.488813069992692,101.6440982459545,8,7,85,18-24,Male,Cleanliness was lacking
2023-04-15,04:51,Penang,38,TRAIN57,3.0032100329252476,110.71326464827207,24,1,50,25-40,Male,Train was overcrowded
2022-10-15,22:37,Johor Bahru,35,BUS572,1.3892846075308871,119.35425278039102,37,9,50,25-40,Male,Route was confusing
2023-06-10,03:30,Penang,63,TRAIN46,1.9332059561115817,113.96403189214918,27,4,63,40-60,Male,Route was confusing
2023-11-28,07:24,Kuala Lumpur,96,TRAIN65,4.57713633851858,102.85140465457135,8,7,50,25-40,Male,Train was overcrowded
2022-06-02,15:15,Penang,73,TRAIN21,5.344837477353284,111.39156791675288,24,6,96,18-24,Male,Station was well-maintained
2023-08-15,10:19,Kota Kinabalu,87,BUS376,6.179034057719516,116.0884285077874,27,7,58,25-40,Male,Station was well-maintained
2022-02-11,13:39,Langkawi,43,BUS599,6.458299225965941,106.87321260531014,-5,2,64,40-60,Female,Bus arrived on time
2022-10-02,05:39,Langkawi,88,TRAIN19,6.608918547039363,108.57866771188337,39,3,58,40-60,Female,Driver was friendly
2023-07-07,18:07,Ipoh,18,BUS784,6.866447023196107,100.04513885471862,-5,7,99,25-40,Male,Station was well-maintained
2023-03-15,00:44,Cameron Highlands,78,TRAIN36,5.67384783555668,117.39099638110659,-6,3,91,18-24,Male,Route was confusing
2022-07-27,07:52,Malacca,56,BUS367,5.399266603532054,109.40366320385519,38,6,51,40-60,Male,Bus arrived on time
2022-06-16,08:47,Kota Kinabalu,95,TRAIN95,3.042504999630908,105.07093183757316,33,2,51,18-24,Male,Poor signage at the station
2022-04-22,20:36,Port Dickson,55,TRAIN96,6.573398437087027,103.95214365763337,-9,4,52,40-60,Male,Cleanliness was lacking
2022-12-16,10:16,Kuala Lumpur,32,BUS007,1.8245363308413958,108.5436848329913,0,5,65,25-40,Male,Bus arrived on time
2022-05-10,20:26,Johor Bahru,24,TRAIN16,4.269131116395636,104.46895940474619,9,5,71,18-24,Male,Service was excellent
2022-08-05,08:16,Kuala Lumpur,10,TRAIN89,3.71236533097381,117.9355747536145,-2,0,96,40-60,Male,Poor signage at the station
2023-01-17,14:32,Kuching,60,BUS011,6.341664802338471,104.53480612213474,16,2,52,18-24,Female,Driver was friendly
2022-01-25,20:23,Kuching,64,TRAIN67,4.854547610549354,108.04869039033187,39,0,66,18-24,Female,Station was well-maintained
2022-03-09,15:44,Penang,60,BUS904,3.310636140952562,102.81567295048916,33,1,83,18-24,Female,Seats were uncomfortable
2022-08-23,19:55,Langkawi,19,BUS348,1.5630682470758979,102.37723764627347,24,1,66,25-40,Male,Poor signage at the station
2023-12-18,23:34,Cameron Highlands,43,BUS497,2.732108014138725,104.75462467916887,-7,9,76,25-40,Female,Cleanliness was lacking
2022-10-19,13:34,Georgetown,50,BUS084,4.048403817145247,100.0594455864353,0,4,57,25-40,Female,Station was well-maintained
2023-12-28,17:23,Kuala Lumpur,50,BUS515,3.3712337119512776,111.9726768931967,-8,1,98,18-24,Female,Driver was friendly
2023-12-03,13:48,Malacca,17,BUS372,6.694304905831716,104.44563782679919,8,1,63,25-40,Female,Bus arrived on time
2023-12-11,23:30,Port Dickson,36,BUS328,4.583878036637581,108.62961518901128,21,2,85,40-60,Male,Service was excellent
2023-12-29,05:57,Langkawi,39,TRAIN20,5.241977504408566,116.17257824950315,25,8,54,25-40,Female,Bus arrived on time
2023-07-10,07:33,Port Dickson,60,BUS180,4.57383029299495,108.31563947264598,18,0,92,18-24,Male,Train was overcrowded
2022-02-02,17:34,Kota Kinabalu,67,BUS276,3.4306557090653835,115.3020132676815,38,5,56,40-60,Male,Station was well-maintained
2022-01-12,20:01,Penang,27,TRAIN38,1.3680280310555821,114.24216843256403,35,9,92,40-60,Female,Poor signage at the station
2023-09-09,04:21,Malacca,20,BUS607,1.185917047206468,117.23262145632337,28,1,62,40-60,Male,Train was overcrowded
2022-08-01,08:50,Malacca,53,BUS799,4.922460497665504,107.93136980910478,-5,2,83,18-24,Female,Service was excellent
2022-05-19,01:54,Johor Bahru,72,TRAIN29,5.169061843041156,114.85475987855503,-5,9,62,18-24,Female,Route was confusing
2023-11-26,03:48,Langkawi,75,TRAIN43,2.0794240412731106,111.26276027422198,20,6,94,18-24,Male,Poor signage at the station
2023-02-26,03:25,Langkawi,29,TRAIN96,4.801410762562428,110.41704412080911,39,5,85,25-40,Female,Delay in departure
2023-09-30,05:01,Port Dickson,16,BUS048,1.0648441426650568,105.38183674949715,28,9,63,18-24,Female,Route was confusing
2023-10-31,03:07,Langkawi,15,TRAIN82,3.6674391973922535,110.17025395133454,35,2,72,40-60,Male,Station was well-maintained
2023-09-16,01:01,Cameron Highlands,78,BUS955,2.6746394632169226,101.0929387013672,21,8,73,18-24,Female,Seats were uncomfortable
2023-05-04,07:25,Ipoh,76,BUS863,6.297044980512402,102.30911064730994,-2,7,61,40-60,Female,Cleanliness was lacking
2023-06-24,04:13,Georgetown,50,TRAIN41,2.8487617842775976,109.55036929968384,38,6,83,18-24,Female,Route was confusing
2022-08-06,12:50,Malacca,90,BUS137,3.3447472122424604,105.97321150210209,-4,4,91,40-60,Male,Bus arrived on time
2023-10-26,00:43,Kota Kinabalu,81,BUS654,1.9599852478892572,118.06669343270448,4,4,64,40-60,Male,Seats were uncomfortable
2022-11-04,19:34,Ipoh,50,BUS295,1.7839819977929465,119.07635553391171,-8,6,75,40-60,Male,Service was excellent
